Name	Category	Latitude	Longitude
Great Lawn Softball Field 2	Softball field	40.7806132	-73.9662439
Great Lawn Beach	Public beach	40.3064529	-73.9776169
Waterbury	Connecticut	41.5581525	-73.0514965
Danbury	Connecticut	41.394817	-73.4540111
Papyrus	Greeting card shop	41.722752	-72.76351
Papyrus	Greeting card shop	42.3009926	-71.3839793
Papyrus	Greeting card shop	42.2962153	-71.2962522
PAPYRUS	Greeting card shop	42.3215125	-71.1756718
Papyrus	Greeting card shop	42.2220664	-71.0237194
Papyrus	Greeting card shop	42.3730329	-71.1195864
Papyrus	Greeting card shop	42.3473709	-71.081024
Papyrus	Greeting card shop	42.4815197	-71.2133302
Papyrus	Greeting card shop	42.3556282	-71.058282
Papyrus	Greeting card shop	42.3588054	-71.0596048
PAPYRUS	Greeting card shop	41.3807993	-73.4797164
Papyrus	Greeting card shop	42.5404269	-70.9431108
Papyrus	Greeting card shop	42.7662567	-71.2303244
Papyrus	Greeting card shop	41.1439538	-73.361498
Papyrus	Greeting card shop	41.1468135	-73.492842
Papyrus	Greeting card shop	41.053376	-73.537091
Papyrus	Greeting card shop	41.0260274	-73.626188
Papyrus	Greeting card shop	40.9827036	-73.6846546
Papyrus	Greeting card shop	41.03139	-73.758773
Papyrus	Greeting card shop	40.7379078	-73.6129798
I - Accessories	Cell phone store	41.3808344	-73.4798141
Street Diesel Performance	Truck accessories store	41.7898544	-72.1431776
Verizon Authorized Retailer - Wireless Zone	Cell phone store	41.7414546	-72.1777245
Verizon Authorized Retailer - Russell Cellular	Cell phone store	41.7373816	-72.1996137
AT&T Store	Cell phone store	41.7157033	-72.2291878
GameStop	Video game store	41.7343837	-72.2015585
AT&T Store	Cell phone store	41.8409454	-71.8829515
Cricket Wireless Authorized Retailer	Cell phone store	41.7965683	-71.9123018
Walmart Supercenter	Department store	41.7406018	-72.1748199
Auto Audio & Accessories	Car accessories store	41.914513	-71.671154
Verizon Authorized Retailer - Wireless Zone	Cell phone store	41.9175495	-71.9091912
Verizon Authorized Retailer - Wireless Zone	Cell phone store	41.8411226	-71.8829992
Sprint Store	Cell phone store	41.8439827	-71.8831143
W H Rose	Truck accessories store	41.7171806	-72.2461462
Verizon Authorized Retailer - Russell Cellular	Cell phone store	41.9552091	-72.309712
TS Mobile Accessories	Car stereo store	42.094237	-72.5541799
Verizon Authorized Retailer, TCC	Cell phone store	41.859727	-72.3550449
GameStop	Video game store	41.8410692	-71.8829739
GameStop	Video game store	41.8605916	-72.3568445
AT&T Store	Cell phone store	41.9694733	-72.328538
Mattress Firm Waterbury	Mattress store	41.5679412	-73.0087733
Dr. Dental	Dentist	41.8274748	-72.499423
Dr. Dental	Dentist	41.7656454	-72.5702884
Dr. Dental	Dentist	41.9876384	-72.5751282
Dr. Dental	Dentist	41.752047	-72.7164209
Dr. Dental	Dentist	42.1387585	-72.5191656
Dr. Dental	Dentist	41.6962772	-72.903568
Dr. Dental	Dentist	42.1372534	-72.5064557
Dr. Dental	Dentist	41.5682542	-73.0085922
Dr. Dental	Dentist	41.5607647	-73.0555093
Dr. Dental	Dentist	41.3235263	-72.8543787
Dr. Dental	Dentist	42.3522631	-71.1320443
Dr. Dental	Dentist	41.3687589	-72.9216024
Dr. Dental	Dentist	42.3659625	-71.1049783
Dr. Dental	Dentist	41.3053728	-72.9259105
Dr. Dental	Dentist	42.3231364	-71.1038394
Dr. Dental	Dentist	42.3716669	-71.0387773
Dr Dental: Folgel Julio O DDS	Dentist	41.6962492	-72.903658
Dr. Dental	Dentist	41.2029264	-73.1162676
Dr. Dental	Dentist	42.4289239	-71.013089
Dr. Dental	Dentist	41.6564698	-70.9198724
Mattatuck Plaza Shopping Center	Waterbury, CT 06704	41.5676134	-73.0087956
Vineyard Dr	Berlin, CT 06037	41.6233921	-72.7982477
Vineyard Dr	Taunton, MA 02780	41.9138944	-71.1182097
Tim Hortons	Cafe	41.033373	-73.77498
Tim Hortons	Cafe	40.746864	-73.5924102
Tim Hortons	Cafe	40.9175823	-73.7861485
Tim Hortons	Cafe	40.6991017	-73.8073315
Tim Hortons	Cafe	40.7505691	-73.9930343
Tim Hortons	Cafe	40.6068257	-74.1628151
Tim Hortons	Cafe	40.5901732	-74.0883688
Tim Hortons	Cafe	40.5749233	-74.6278766
Tim Hortons	Cafe	40.6021957	-75.4723577
Tim Hortons		43.636907	-70.336326
Tim Hortons		42.4569184	-75.0354875
Tim Hortons		43.6586233	-70.2982181
Tim Hortons	Cafe	42.4474321	-75.0490934
Tim Hortons		42.46695	-75.10331
Tim Hortons		41.956399	-75.2915
Tim Hortons	Cafe	45.1328683	-71.8005507
Tim Hortons		42.05528	-75.413629
Tim Hortons		42.3128657	-75.3895091
Tim Hortons	Cafe	41.4090079	-75.505546
Tim Hortons	Cafe	45.1907584	-72.7544986
NW Driveway	Mansfield, CT	41.810706	-72.2597584
Northwest Dining Hall	Storrs, CT 06269	41.811443	-72.259743
118 Joel Scott Dr	Holden, MA 01520	42.336637	-71.86525
Holden Trade Post	Novelty store	42.3407006	-71.8400366
Holden Discount Liquors	Liquor store	42.3398992	-71.83902
Holden Veterinary Clinic	Veterinarian	42.3408427	-71.8430357
Holden Jewelers	Jeweler	42.342544	-71.845202
Holden Hearing Aid Center	Hearing aid store	42.340198	-71.8393675
Holden Humphrey Co	Lumber store	42.1814277	-72.5663042
Sunnyside Motor Co., Inc.	Ford dealer	42.3443767	-71.8523135
Holden	Massachusetts	42.3517585	-71.8634062
Holden Humphrey Co	Lumber store	42.0513258	-72.6521663
sunrise dairy holden	Tree service	42.3104592	-71.8461191
Holden Home Modernizing Inc.	Siding contractor	42.328122	-71.8535662
Moores Bathroom Remodeling of Holden	Bathroom remodeler	42.340751	-71.8401319
Herb Holden Trucking Inc	Trucking company	41.9309463	-72.5355758
Herb Holden Trucking Sand	Trucking company	41.6030736	-72.0177449
New To You Boutique and Home Edition	Antique store	42.3482874	-71.8578708
Holden Municipal Light Department	City government office	42.3323077	-71.82938
Corner Shop At The First Congregational Church	Thrift store	42.3510958	-71.8619971
Vintage Retriever	Home goods store	42.347524	-71.856711
Village Garden Center & Carrie's	Florist	42.3422095	-71.8442759
Old Man Motors	Motorcycle shop	42.364807	-71.892142
155 Golden Hill St	New Britain, CT 06053	41.688622	-72.7982848
Naugatuck	Connecticut 06770	41.485921	-73.0506972
Office of the Registrar	University department	41.8092462	-72.251692
Cancellaro Dr	Wolcott, CT 06716	41.6312658	-72.9752632
Wolcott	Connecticut 06716	41.6023196	-72.9867718
Brien McMahon Hall	Student dormitory	41.8036283	-72.2524224
McMahon Dining Hall	Restaurant	41.8035543	-72.2524442
Tower Ct Rd	Mansfield, CT 06268	41.8158882	-72.2631006
1250 Storrs Rd	Storrs, CT 06268	41.803447	-72.2429773
Gansett Wraps	Fast food restaurant	41.8036685	-72.2429103
Gansett Wraps	Mediterranean restaurant	41.430099	-71.48011
Hershey	Pennsylvania	40.2859239	-76.6502468
Hershey's Photo Memories	Photography studio	40.2881355	-76.6602881
Hershey's Chocolate World	Chocolate shop	40.7593421	-73.9843308
Hershey's Chocolate World	Chocolate shop	40.2881597	-76.6608569
113 Springdale Ave	Coventry, CT 06238	41.7730215	-72.3113409
2104 Hillside Rd	Storrs, CT 06269	41.8063945	-72.2546832
250 Glenbrook Rd	Storrs, CT 06269	41.8090103	-72.2539504
148 Church St	Willimantic, CT 06226	41.7151559	-72.210931
Steven L. Ulc, OD	Optometrist	41.4889303	-73.0560002
Down To Earth Tree Removal	Tree service	41.8115205	-72.1527845
Down To Earth CSA	Farm	41.9629754	-72.2383342
Down to Earth Acupuncture	Acupuncture clinic	42.2394873	-71.8444968
Down To Earth, LLC	Geotechnical engineer	41.4890397	-73.0559653
Down To Earth Natural Foods	Natural goods store	41.6359486	-70.9454685
Faltom Jewelers	Jewelry store	41.3943355	-73.451781
Faltom Jewelers	Jewelry store	41.488873	-73.055966
Advanced Family Eye Care	Optometrist	41.4889203	-73.0560483
Advance Family Eyecare	Eye care center	42.7037518	-71.1931049
Advanced Family Eyecare	Optometrist	40.9521282	-74.1359704
N Church St and Opp Park Place	Bus stop	41.489009	-73.055735
Creative Fabrics	Upholstery shop	41.4887544	-73.0561561
Creative Fabrics & Quilt Shop	Fabric store	40.4642444	-78.7510559
Creative Designs & Fabrics Inc	Fabric store	40.6475013	-74.4075441
DAZIAN Creative Fabric Environments	Fabric product manufacturer	40.829651	-74.044019
The Polo Bar	Restaurant	40.76155	-73.9743961
Polo Lounge & Bar	Lounge	40.2338815	-77.1314988
The Polo Lounge	Bar	40.5225003	-74.3360717
New Polo Dos Lounge	Bar	40.7026778	-73.8149021
Lawrence D. McHugh Hall		41.8070872	-72.2534118
Nathan Hale Inn & Conference Center		41.8029205	-72.248858
Babbidge Rd	Mansfield, CT 06269	41.807127	-72.2504174
151 Whitney Rd	Storrs, CT 06269	41.8057389	-72.250483
Office of Early College Programs	University department	41.8076572	-72.252872
244 Glenbrook Rd	Storrs, CT 06269	41.8085798	-72.2546642
University of Connecticut	University	41.8077414	-72.2539805
University Of Connecticut Transportation Services	Transportation service	41.810777	-72.2616565
Hilltop Community Center	Bus stop	41.802812	-72.259961
Hilltop Apartments	Bus stop	41.801109	-72.25835
V N Engineers Inc	Engineering consultant	41.3952975	-72.8554678
Connecticut Department of Transportation - Norwich Office	Department of Transportation	41.513565	-72.1204071
Connecticut Department of Transportation	State Department of Transportation	41.6732505	-72.7145735
Park and Ride	Parking lot	41.4144836	-71.8542279
Haider Engineering PC	Engineering consultant	40.711705	-73.420736
Civil Engineering Inc.	Engineering consultant	40.8689014	-74.7391242
Sam Schwartz Engineering	Engineer	40.7472188	-73.9966614
Lincoln Tunnel	Tunnel	40.7628837	-74.0096599
Thruway Authority	Department of Transportation	41.1012567	-73.9529918
Koscuiuszko Bridge	Bridge	40.7276482	-73.9287488
Truck Stop Rest Area Westbound	Rest stop	40.9252237	-74.7919295
Chemical Engineering Department	University department	40.8094069	-73.9599072
Columbia University	University	40.8075355	-73.9625727
Westbound Engineering Co.,Ltd.	Industrial equipment supplier	13.7575538	100.5886751
Engineering Westbound		41.808512	-72.254939
John Buckley Residence Hall	Student dormitory	41.8057348	-72.2438851
170 High Ridge Rd	Ellington, CT 06029	41.8770931	-72.4602561
170 Highridge Rd	Avon, CT 06001	41.7770801	-72.8935075
170 High Ridge Rd	South Windsor, CT 06074	41.8258781	-72.5233043
Putnam Refectory	Cafeteria	41.805226	-72.2589772
Betsy Paterson Square	Park	41.8045951	-72.2435435!3m4!1s0x89e68a23c13ae04d:0x8f25ee71763c2dd4!8m2
Insomnia Cookies	Cookie shop	41.8050121	-72.2435735
Insomnia Cookies	Cookie shop	42.2551502	-71.7973919
Insomnia Cookies	Cookie shop	41.8304489	-71.400755
Insomnia Cookies	Cookie shop	41.4856941	-71.5248131
Insomnia Cookies	Cookie shop	42.3758128	-72.519147
MOOYAH Burgers, Fries & Shakes	Hamburger restaurant	41.805024	-72.243478
MOOYAH Burgers, Fries & Shakes	Hamburger restaurant	41.69653	-72.756516
Subway	Sandwich shop	41.8050102	-72.2436924
Subway	Sandwich shop	41.7416974	-72.1774322
Subway	Sandwich shop	41.8067528	-72.2543624
Subway	Sandwich shop	41.8090675	-72.2605624
Subway	Sandwich shop	41.7343634	-72.2016999
Subway	Sandwich shop	41.7138069	-72.2170257
Subway	Sandwich shop	41.7232721	-72.2373383
Subway	Sandwich shop	41.7707414	-72.3047047
Subway	Sandwich shop	41.6772761	-72.1685028
Subway	Sandwich shop	41.8006451	-71.9006541
Subway	Sandwich shop	41.8402263	-71.8767974
Subway	Sandwich shop	41.7988831	-71.9129463
Subway	Sandwich shop	41.7191906	-71.9035799
Subway	Sandwich shop	41.9236653	-71.8819468
Subway	Sandwich shop	41.8648062	-72.36252
Subway	Sandwich shop	41.754281	-71.8785239
Subway	Sandwich shop	41.9234104	-71.889218
Subway	Sandwich shop	41.753984	-71.8770775
Subway	Sandwich shop	41.9182354	-71.9079333
Subway	Sandwich shop	41.7328484	-72.3565421
Mansfield Town Square	Storrs Rd	41.8046174	-72.2435037
Nellie Louise Wilson Residence Hall	Storrs, CT 06269	41.8048328	-72.2472494
Tower Loop Rd	Mansfield, CT	41.8156105	-72.2565501
Times Square	Plaza	40.7579747	-73.9855426
Gloria Jeans Coffees	Coffee shop	41.804261	-72.554634
Gloria Jeans Coffees	Coffee shop	41.5496129	-73.0254809
Gloria Jean's Coffee	Coffee shop	42.9557563	-71.4331846
Gloria Jeans Coffees	Coffee shop	41.6266978	-73.9207237
Gloria Jeans Coffees	Coffee shop	40.7341108	-73.8708351
Gloria Jeans Coffees	Coffee shop	43.097545	-70.8052631
Gloria Jean's Coffees	Coffee shop	40.4961966	-74.444886
Gloria Jean's Coffees	Coffee shop	40.5818776	-74.1652624
Gloria Jeans Coffees	Coffee shop	43.633977	-70.3361799
Gloria Jeans Coffees	Coffee shop	40.2512737	-74.3002711
Gloria Jeans Coffees	Coffee shop	40.1602073	-74.4159541
Michaels Jewelers	Jewelry store	41.8063291	-72.5456615
Michaels Jewelers	Jewelry store	41.7228675	-72.7631444
Michaels Jewelers	Jewelry store	41.5510592	-72.8074888
Michaels Jewelers	Jewelry store	41.6841257	-72.9407491
Michaels Jewelers	Jewelry store	41.8223606	-72.8834844
Michael Szwed Jewelers, LLC	Jewelry store	42.0555014	-72.5544812
Michaels Jewelers	Jewelry store	41.5496319	-73.0257615
Cricket Wireless Authorized Retailer	Cell phone store	41.7965683	-71.9123018
Cricket Wireless Authorized Retailer	Cell phone store	41.524384	-72.074733
Cricket Wireless Authorized Retailer	Cell phone store	42.088032	-72.549478
Cricket Wireless Authorized Retailer	Cell phone store	42.256054	-71.785914
Cricket Wireless Authorized Retailer	Cell phone store	41.817032	-71.443276
Cricket Wireless Authorized Retailer	Cell phone store	42.11334	-72.55959
Cricket Wireless Authorized Retailer	Cell phone store	41.8628517	-71.4544001
Cricket Wireless Authorized Retailer	Cell phone store	41.8278806	-71.4161444
Cricket Wireless Authorized Retailer	Cell phone store	41.7309506	-72.723692
Cricket Wireless Authorized Retailer	Cell phone store	41.685068	-72.709528
Cricket Wireless Authorized Retailer	Cell phone store	41.8145145	-71.4210112
Cricket Wireless Authorized Retailer	Cell phone store	41.929126	-72.604781
Cricket Wireless Authorized Retailer	Cell phone store	41.562309	-72.650687
Cricket Wireless Authorized Retailer	Cell phone store	41.758536	-72.699137
Cricket Wireless Authorized Retailer	Cell phone store	42.139261	-72.583114
Cricket Wireless Authorized Retailer	Cell phone store	42.554524	-71.779773
Cricket Wireless Authorized Retailer	Cell phone store	41.781364	-71.440069
Cricket Wireless Authorized Retailer	Cell phone store	42.1136157	-72.6048984
Cricket Wireless Authorized Retailer	Cell phone store	41.667482	-72.783211
Cricket Wireless Authorized Retailer	Cell phone store	41.673313	-72.784868
Mai Jewelry	Jewelry repair service	41.549825	-73.0255039
Captain Candy	Candy store	42.3182057	-72.6307999
T-Mobile	Cell phone store	41.803761	-72.2408435
T-Mobile	Cell phone store	41.8414363	-71.8759168
T-Mobile	Cell phone store	41.5861196	-71.9915734
T-Mobile	Cell phone store	41.8140743	-72.5256108
T-Mobile	Cell phone store	41.7711082	-72.5214045
T-Mobile	Cell phone store	41.806545	-72.544368
T-Mobile	Cell phone store	41.9953296	-72.5822138
T-Mobile	Cell phone store	41.9975649	-72.5774625
T-Mobile	Cell phone store	41.8923618	-72.6513579
T-Mobile	Cell phone store	41.7801683	-72.6759228
T-Mobile	Cell phone store	42.0859515	-72.555271
T-Mobile	Cell phone store	42.1405038	-72.4860524
T-Mobile	Cell phone store	41.7578794	-72.6847483
T-Mobile	Cell phone store	41.6931561	-72.6578653
T-Mobile	Cell phone store	42.1387585	-72.5191656
T-Mobile	Cell phone store	42.0770239	-71.6328793
Metro by T-Mobile	Cell phone store	41.7129319	-72.2195452
T-Mobile	Cell phone store	41.3734608	-72.1437024
T-Mobile	Cell phone store	41.3505039	-72.0546652
T-Mobile	Cell phone store	42.1727845	-72.577538
Perfume Palace	Perfume store	41.5496832	-73.0255099
Perfume Palace Inc.	Store	40.7059865	-73.794212
Victoria's Perfume Palace		41.818774	-71.44699
Pro Fix Wireless	Mobile phone repair shop	41.7508501	-71.2270944
ProFix Wireless	Cell phone store	42.356469	-72.54774
ProFix - Phone,Tablet Repair Service	Phone repair service	41.549415	-73.025557
Cracked Solution LLC	Cell phone store	42.356402	-72.5477785
ProFix Wireless / iPhone Repair / iPad Repair / Laptop Computer	Mobile phone repair shop	36.8203846	-76.1232159
Cell Pro Fix	Mobile phone repair shop	39.0762803	-77.4837754
Cell Pro Fix	Electronics repair shop	39.4797193	-76.6431161
Pro Fix Phone Repair	Mobile phone repair shop	42.8121224	-85.7279359
The FIX - Brass Mill Center	Phone repair service	41.549412	-73.02545
Protection Glass repair service	Phone repair service	41.549391	-73.0255668
South Campus Dining Hall	Food court	41.8038695	-72.2484725
Rutland	Vermont 05701	43.6106237	-72.9726065
Department of Pharmaceutical Sciences	University department	41.8100354	-72.2550659
Department of Physiology and Neurobiology	University department	41.810036	-72.255068
Department of Pharmacy Practice	University	41.810036	-72.2550669
Henry Ruthven Monteith Building	University department	41.8070557	-72.2493271
Fairfield Way	Mansfield, CT 06269	41.807274	-72.2525079
Doc Popcorn	Popcorn store	41.548914	-73.024568
Doc Popcorn	Popcorn store	42.2226329	-71.0238456
Dippin’ Dots & Doc Popcorn: Tanger Outlet Mall at Foxwoods	Ice cream shop	41.474707	-71.960929
Doc Popcorn At The Mills At Jersey Gardens	Popcorn store	40.659231	-74.1702459
Doc Popcorn	Popcorn store	40.5819904	-74.1660708
Foot Locker	Shoe store	41.8062234	-72.5457417
Foot Locker	Shoe store	42.2024925	-71.8352676
Foot Locker	Shoe store	41.724732	-71.4769742
Foot Locker	Shoe store	42.1676302	-72.6413569
Foot Locker	Shoe store	41.7229484	-72.7633632
Foot Locker	Shoe store	41.828233	-71.416275
Foot Locker	Shoe store	42.2966933	-71.8009839
Foot Locker	Shoe store	41.977089	-71.33408
Foot Locker	Shoe store	41.5511953	-72.8079498
Foot Locker	Shoe store	42.3008066	-71.3841354
Foot Locker	Shoe store	42.5284288	-71.7411407
Foot Locker	Shoe store	41.7230942	-72.7617619
Foot Locker	Shoe store	41.5488169	-73.0246344
Foot Locker	Shoe store	41.2939306	-72.8990735
Foot Locker	Shoe store	41.3052993	-72.9250655
Foot Locker	Shoe store	41.64137	-70.9907639
Foot Locker	Shoe store	42.3562983	-71.0598385
Foot Locker	Shoe store	42.3681959	-71.0761754
Foot Locker	Shoe store	42.3171184	-71.0656457
Foot Locker	Shoe store	41.2362497	-73.0353162
Kids Foot Locker	Shoe store	41.827241	-71.416633
Kids Foot Locker	Shoe store	42.1676302	-72.6413569
Kids Foot Locker	Shoe store	41.7229954	-72.763052
Kids Foot Locker	Shoe store	41.548914	-73.024568
Kids Foot Locker	Shoe store	42.2208319	-71.0252849
Kids Foot Locker	Shoe store	41.2357111	-73.0361694
Kids Foot Locker	Shoe store	42.3680092	-71.0763019
Kids Foot Locker	Shoe store	41.6413732	-70.9907814
Kids Foot Locker	Shoe store	42.4616831	-71.027743
Kids Foot Locker	Shoe store	42.7022403	-71.4375662
Kids Foot Locker	Shoe store	41.2293413	-73.2267736
Kids Foot Locker	Shoe store	42.7673046	-71.2308602
Kids Foot Locker	Shoe store	41.0522407	-73.5363833
Kids Foot Locker	Shoe store	40.7412477	-73.2469103
Kids Foot Locker	Shoe store	41.6268419	-73.921635
Kids Foot Locker	Shoe store	41.031856	-73.7697343
Kids Foot Locker	Shoe store	40.684107	-73.433966
Kids Foot Locker	Shoe store	42.6892267	-73.8497927
Kids Foot Locker	Shoe store	40.7377313	-73.6131232
Kids Foot Locker	Shoe store	40.9265647	-73.8529946
Bank of America ATM	ATM	41.740709	-72.1783727
Bank of America ATM	ATM	41.805441	-72.2429463
Bank of America ATM	ATM	41.824634	-72.2715842
Bank of America ATM	ATM	41.7227834	-72.2365641
Bank of America ATM	ATM	41.9173692	-71.9085018
Bank of America (with Drive-thru ATM)	Bank	41.8087228	-71.8789254
Bank of America (with Drive-thru services)	Bank	41.7218685	-72.237932
Bank of America ATM	ATM	41.6610288	-72.35678
Bank of America ATM	ATM	41.8087118	-71.8789508
Bank of America ATM	ATM	41.8259586	-72.4961468
Bank of America ATM	ATM	41.769925	-72.5205159
Bank of America ATM	ATM	41.5712097	-72.3352055
Bank of America ATM	ATM	42.1153264	-72.1079441
Bank of America (with Drive-thru ATM)	Bank	41.5480833	-72.0934014
Bank of America (with Drive-thru ATM)	Bank	41.794826	-72.5219899
Bank of America ATM (Drive-thru)	ATM	41.8044287	-72.5617854
Bank of America (with Drive-thru ATM)	Bank	41.5161408	-72.0996342
Bank of America (with Drive-thru ATM)	Bank	41.7802644	-72.5392936
Bank of America ATM	ATM	41.9569345	-71.7032089
Bank of America ATM	ATM	42.0596554	-72.4420996
One Touch Repair LLC	Computer repair service	41.548914	-73.024568
GIFT Street Wear	Men's clothing store	41.548914	-73.024568
C V Sportswear LLC	Water sports equipment rental service	41.5489141	-73.0245679
Photos by Us	Photographer	41.5489141	-73.0245679
Lids	Hat shop	41.8062234	-72.5457417
Lids	Hat shop	41.4763404	-71.9620183
Lids	Hat shop	42.2023422	-71.8341963
Lids	Hat shop	41.3746826	-72.1441734
Lids	Hat shop	41.8276862	-71.4164503
Lids	Hat shop	42.1676302	-72.6413569
Lids	Hat shop	41.9461289	-71.3498988
