Name	Category	Latitude	Longitude	newType
Huntington Towers	Apartment building	41.3577284	-72.0989352	Residence
Eastbrook Towers LLC	Apartment building	41.7657935	-72.6161226	Residence
Towers East	Apartment building	41.875746899999996	-71.38585	Residence
Kimball Towers	Apartment building	42.105188500000004	-72.5892764	Residence
Canterbury Towers	Apartment building	42.2689286	-71.8036941	Residence
Groton Towers	Apartment complex	41.3592891	-72.0728217	Residence
Elm Park Towers	Apartment building	42.2637102	-71.8165047	Residence
The Towers	Apartment building	41.4428001	-72.8022635	Residence
Regency Towers	Condominium complex	41.7692057	-72.7012986	Residence
SBONA TOWERS	Apartment building	41.5577834	-72.6497274	Residence
Arch Street Towers	Tower	42.3561689	-71.0581924	Outdoors & Recreation
New London Harbour Towers	Condominium complex	41.3506419	-72.1002823	Residence
380 Mansfield Rd	Ashford, CT 06278	41.8399025	-72.1696617	Travel & Transport
Center On Aging & Human Dev	College	41.8086044	-72.2489164	College & University
The Great Lawn	Park	40.7814407	-73.9665239	Outdoors & Recreation
The Great Lawn	Park	40.8076367	-72.6458331	Outdoors & Recreation
Great Lawn Softball Field 3	Softball field	40.7814181	-73.9672107	Outdoors & Recreation
Great Lawn Softball Field 1	Softball field	40.7807495	-73.9673943	Outdoors & Recreation
Great Lawn Softball Field 6	Softball field	40.7819067	-73.9655357	Outdoors & Recreation
The Great Lawn	Park	42.647443	-71.1332069	Outdoors & Recreation
Great Lawn Softball Field 2	Softball field	40.780613200000005	-73.9662439	Outdoors & Recreation
Great Lawn Beach	Public beach	40.3064529	-73.9776169	Outdoors & Recreation
Waterbury	Connecticut	41.558152500000006	-73.0514965	Outdoors & Recreation
Danbury	Connecticut	41.394816999999996	-73.4540111	Outdoors & Recreation
Papyrus	Greeting card shop	41.722752	-72.76351	Travel & Transport
Papyrus	Greeting card shop	42.3009926	-71.3839793	Travel & Transport
Papyrus	Greeting card shop	42.2962153	-71.2962522	Travel & Transport
PAPYRUS	Greeting card shop	42.3215125	-71.1756718	Travel & Transport
Papyrus	Greeting card shop	42.222066399999996	-71.0237194	Travel & Transport
Papyrus	Greeting card shop	42.3730329	-71.1195864	Travel & Transport
Papyrus	Greeting card shop	42.347370899999994	-71.081024	Travel & Transport
Papyrus	Greeting card shop	42.48151970000001	-71.2133302	Travel & Transport
Papyrus	Greeting card shop	42.3556282	-71.058282	Travel & Transport
Papyrus	Greeting card shop	42.3588054	-71.0596048	Travel & Transport
PAPYRUS	Greeting card shop	41.38079929999999	-73.4797164	Travel & Transport
Papyrus	Greeting card shop	42.5404269	-70.9431108	Travel & Transport
Papyrus	Greeting card shop	42.76625670000001	-71.2303244	Travel & Transport
Papyrus	Greeting card shop	41.14395379999999	-73.361498	Travel & Transport
Papyrus	Greeting card shop	41.1468135	-73.492842	Travel & Transport
Papyrus	Greeting card shop	41.053376	-73.537091	Travel & Transport
Papyrus	Greeting card shop	41.0260274	-73.626188	Travel & Transport
Papyrus	Greeting card shop	40.9827036	-73.6846546	Travel & Transport
Papyrus	Greeting card shop	41.03139	-73.758773	Travel & Transport
Papyrus	Greeting card shop	40.737907799999995	-73.6129798	Travel & Transport
I - Accessories	Cell phone store	41.3808344	-73.4798141	Shop & Service
Street Diesel Performance	Truck accessories store	41.7898544	-72.1431776	Shop & Service
Verizon Authorized Retailer - Wireless Zone	Cell phone store	41.741454600000004	-72.1777245	Shop & Service
Verizon Authorized Retailer - Russell Cellular	Cell phone store	41.7373816	-72.1996137	Shop & Service
AT&T Store	Cell phone store	41.7157033	-72.2291878	Shop & Service
GameStop	Video game store	41.73438370000001	-72.2015585	Shop & Service
AT&T Store	Cell phone store	41.840945399999995	-71.8829515	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.7965683	-71.9123018	Shop & Service
Walmart Supercenter	Department store	41.7406018	-72.1748199	Shop & Service
Auto Audio & Accessories	Car accessories store	41.914513	-71.671154	Shop & Service
Verizon Authorized Retailer - Wireless Zone	Cell phone store	41.9175495	-71.9091912	Shop & Service
Verizon Authorized Retailer - Wireless Zone	Cell phone store	41.841122600000006	-71.8829992	Shop & Service
Sprint Store	Cell phone store	41.843982700000005	-71.8831143	Shop & Service
W H Rose	Truck accessories store	41.717180600000006	-72.2461462	Shop & Service
Verizon Authorized Retailer - Russell Cellular	Cell phone store	41.955209100000005	-72.309712	Shop & Service
TS Mobile Accessories	Car stereo store	42.094237	-72.5541799	Shop & Service
Verizon Authorized Retailer, TCC	Cell phone store	41.859727	-72.3550449	Shop & Service
GameStop	Video game store	41.84106920000001	-71.8829739	Shop & Service
GameStop	Video game store	41.8605916	-72.3568445	Shop & Service
AT&T Store	Cell phone store	41.9694733	-72.328538	Shop & Service
Mattress Firm Waterbury	Mattress store	41.5679412	-73.0087733	Shop & Service
Dr. Dental	Dentist	41.8274748	-72.499423	Professional & Other Places
Dr. Dental	Dentist	41.7656454	-72.5702884	Professional & Other Places
Dr. Dental	Dentist	41.987638399999994	-72.5751282	Professional & Other Places
Dr. Dental	Dentist	41.752047	-72.7164209	Professional & Other Places
Dr. Dental	Dentist	42.1387585	-72.5191656	Professional & Other Places
Dr. Dental	Dentist	41.696277200000004	-72.903568	Professional & Other Places
Dr. Dental	Dentist	42.1372534	-72.5064557	Professional & Other Places
Dr. Dental	Dentist	41.5682542	-73.0085922	Professional & Other Places
Dr. Dental	Dentist	41.56076470000001	-73.0555093	Professional & Other Places
Dr. Dental	Dentist	41.3235263	-72.8543787	Professional & Other Places
Dr. Dental	Dentist	42.3522631	-71.1320443	Professional & Other Places
Dr. Dental	Dentist	41.368758899999996	-72.9216024	Professional & Other Places
Dr. Dental	Dentist	42.3659625	-71.1049783	Professional & Other Places
Dr. Dental	Dentist	41.305372799999994	-72.9259105	Professional & Other Places
Dr. Dental	Dentist	42.3231364	-71.1038394	Professional & Other Places
Dr. Dental	Dentist	42.3716669	-71.0387773	Professional & Other Places
Dr Dental: Folgel Julio O DDS	Dentist	41.696249200000004	-72.903658	Professional & Other Places
Dr. Dental	Dentist	41.202926399999996	-73.1162676	Professional & Other Places
Dr. Dental	Dentist	42.4289239	-71.013089	Professional & Other Places
Dr. Dental	Dentist	41.656469799999996	-70.9198724	Professional & Other Places
Mattatuck Plaza Shopping Center	Waterbury, CT 06704	41.5676134	-73.0087956	Outdoors & Recreation
Vineyard Dr	Berlin, CT 06037	41.623392100000004	-72.7982477	Outdoors & Recreation
Vineyard Dr	Taunton, MA 02780	41.9138944	-71.1182097	Outdoors & Recreation
Tim Hortons	Cafe	41.033373	-73.77498	Outdoors & Recreation
Tim Hortons	Cafe	40.746864	-73.5924102	Outdoors & Recreation
Tim Hortons	Cafe	40.9175823	-73.7861485	Outdoors & Recreation
Tim Hortons	Cafe	40.69910170000001	-73.8073315	Outdoors & Recreation
Tim Hortons	Cafe	40.7505691	-73.9930343	Outdoors & Recreation
Tim Hortons	Cafe	40.6068257	-74.1628151	Outdoors & Recreation
Tim Hortons	Cafe	40.5901732	-74.0883688	Outdoors & Recreation
Tim Hortons	Cafe	40.574923299999995	-74.6278766	Outdoors & Recreation
Tim Hortons	Cafe	40.6021957	-75.4723577	Outdoors & Recreation
Tim Hortons	Cafe	42.4474321	-75.0490934	Outdoors & Recreation
Tim Hortons	Cafe	45.1328683	-71.8005507	Outdoors & Recreation
Tim Hortons	Cafe	41.4090079	-75.505546	Outdoors & Recreation
Tim Hortons	Cafe	45.1907584	-72.7544986	Outdoors & Recreation
NW Driveway	Mansfield, CT	41.810706	-72.2597584	Outdoors & Recreation
Northwest Dining Hall	Storrs, CT 06269	41.811443	-72.259743	Outdoors & Recreation
118 Joel Scott Dr	Holden, MA 01520	42.336636999999996	-71.86525	Outdoors & Recreation
Holden Trade Post	Novelty store	42.3407006	-71.8400366	Shop & Service
Holden Discount Liquors	Liquor store	42.339899200000005	-71.83902	Shop & Service
Holden Veterinary Clinic	Veterinarian	42.3408427	-71.8430357	Professional & Other Places
Holden Jewelers	Jeweler	42.342544000000004	-71.845202	Shop & Service
Holden Hearing Aid Center	Hearing aid store	42.340198	-71.8393675	Shop & Service
Holden Humphrey Co	Lumber store	42.1814277	-72.5663042	Shop & Service
Sunnyside Motor Co., Inc.	Ford dealer	42.344376700000005	-71.8523135	Travel & Transport
Holden	Massachusetts	42.3517585	-71.8634062	Outdoors & Recreation
Holden Humphrey Co	Lumber store	42.0513258	-72.6521663	Shop & Service
sunrise dairy holden	Tree service	42.310459200000004	-71.8461191	Shop & Service
Holden Home Modernizing Inc.	Siding contractor	42.328122	-71.8535662	Shop & Service
Moores Bathroom Remodeling of Holden	Bathroom remodeler	42.340751000000004	-71.8401319	Shop & Service
Herb Holden Trucking Inc	Trucking company	41.9309463	-72.5355758	Professional & Other Places
Herb Holden Trucking Sand	Trucking company	41.6030736	-72.0177449	Professional & Other Places
New To You Boutique and Home Edition	Antique store	42.348287400000004	-71.8578708	Shop & Service
Holden Municipal Light Department	City government office	42.33230770000001	-71.82938	Professional & Other Places
Corner Shop At The First Congregational Church	Thrift store	42.351095799999996	-71.8619971	Shop & Service
Vintage Retriever	Home goods store	42.347524	-71.856711	Shop & Service
Village Garden Center & Carrie's	Florist	42.342209499999996	-71.8442759	Outdoors & Recreation
Old Man Motors	Motorcycle shop	42.364807	-71.892142	Shop & Service
155 Golden Hill St	New Britain, CT 06053	41.688621999999995	-72.7982848	Outdoors & Recreation
Naugatuck	Connecticut 06770	41.485921000000005	-73.0506972	Outdoors & Recreation
Office of the Registrar	University department	41.809246200000004	-72.251692	Outdoors & Recreation
Cancellaro Dr	Wolcott, CT 06716	41.6312658	-72.9752632	Outdoors & Recreation
Wolcott	Connecticut 06716	41.6023196	-72.9867718	Outdoors & Recreation
Brien McMahon Hall	Student dormitory	41.8036283	-72.2524224	Residence
McMahon Dining Hall	Restaurant	41.803554299999995	-72.2524442	Food
Tower Ct Rd	Mansfield, CT 06268	41.8158882	-72.2631006	Outdoors & Recreation
1250 Storrs Rd	Storrs, CT 06268	41.803447	-72.2429773	Outdoors & Recreation
Gansett Wraps	Fast food restaurant	41.8036685	-72.2429103	Food
Gansett Wraps	Mediterranean restaurant	41.430099	-71.48011	Outdoors & Recreation
Hershey	Pennsylvania	40.2859239	-76.6502468	Outdoors & Recreation
Hershey's Photo Memories	Photography studio	40.288135499999996	-76.6602881	Arts & Entertainment
Hershey's Chocolate World	Chocolate shop	40.759342100000005	-73.9843308	Shop & Service
Hershey's Chocolate World	Chocolate shop	40.2881597	-76.6608569	Shop & Service
113 Springdale Ave	Coventry, CT 06238	41.773021500000006	-72.3113409	Outdoors & Recreation
2104 Hillside Rd	Storrs, CT 06269	41.8063945	-72.2546832	Outdoors & Recreation
250 Glenbrook Rd	Storrs, CT 06269	41.8090103	-72.2539504	Outdoors & Recreation
148 Church St	Willimantic, CT 06226	41.7151559	-72.210931	Outdoors & Recreation
Steven L. Ulc, OD	Optometrist	41.48893029999999	-73.0560002	Outdoors & Recreation
Down To Earth Tree Removal	Tree service	41.8115205	-72.1527845	Shop & Service
Down To Earth CSA	Farm	41.9629754	-72.2383342	Shop & Service
Down to Earth Acupuncture	Acupuncture clinic	42.23948729999999	-71.8444968	Professional & Other Places
Down To Earth, LLC	Geotechnical engineer	41.489039700000006	-73.0559653	Professional & Other Places
Down To Earth Natural Foods	Natural goods store	41.635948600000006	-70.9454685	Shop & Service
Faltom Jewelers	Jewelry store	41.3943355	-73.451781	Shop & Service
Faltom Jewelers	Jewelry store	41.488873	-73.055966	Shop & Service
Advanced Family Eye Care	Optometrist	41.4889203	-73.0560483	Outdoors & Recreation
Advance Family Eyecare	Eye care center	42.7037518	-71.1931049	Shop & Service
Advanced Family Eyecare	Optometrist	40.952128200000004	-74.1359704	Outdoors & Recreation
N Church St and Opp Park Place	Bus stop	41.489009	-73.055735	Travel & Transport
Creative Fabrics	Upholstery shop	41.4887544	-73.0561561	Shop & Service
Creative Fabrics & Quilt Shop	Fabric store	40.4642444	-78.7510559	Shop & Service
Creative Designs & Fabrics Inc	Fabric store	40.647501299999995	-74.4075441	Shop & Service
DAZIAN Creative Fabric Environments	Fabric product manufacturer	40.829651	-74.044019	Shop & Service
The Polo Bar	Restaurant	40.76155	-73.9743961	Food
Polo Lounge & Bar	Lounge	40.2338815	-77.1314988	Nightlife Spot
The Polo Lounge	Bar	40.5225003	-74.3360717	Nightlife Spot
New Polo Dos Lounge	Bar	40.7026778	-73.8149021	Nightlife Spot
Babbidge Rd	Mansfield, CT 06269	41.807127	-72.2504174	Outdoors & Recreation
151 Whitney Rd	Storrs, CT 06269	41.805738899999994	-72.250483	Outdoors & Recreation
Office of Early College Programs	University department	41.8076572	-72.252872	Outdoors & Recreation
244 Glenbrook Rd	Storrs, CT 06269	41.8085798	-72.2546642	Outdoors & Recreation
University of Connecticut	University	41.8077414	-72.2539805	College & University
University Of Connecticut Transportation Services	Transportation service	41.810777	-72.2616565	Travel & Transport
Hilltop Community Center	Bus stop	41.802812	-72.259961	Travel & Transport
Hilltop Apartments	Bus stop	41.801109000000004	-72.25835	Travel & Transport
V N Engineers Inc	Engineering consultant	41.3952975	-72.8554678	Shop & Service
Connecticut Department of Transportation - Norwich Office	Department of Transportation	41.513565	-72.1204071	Travel & Transport
Connecticut Department of Transportation	State Department of Transportation	41.6732505	-72.7145735	Travel & Transport
Park and Ride	Parking lot	41.414483600000004	-71.8542279	Professional & Other Places
Haider Engineering PC	Engineering consultant	40.711705	-73.420736	Shop & Service
Civil Engineering Inc.	Engineering consultant	40.8689014	-74.7391242	Shop & Service
Sam Schwartz Engineering	Engineer	40.7472188	-73.9966614	Professional & Other Places
Lincoln Tunnel	Tunnel	40.7628837	-74.0096599	Outdoors & Recreation
Thruway Authority	Department of Transportation	41.1012567	-73.9529918	Travel & Transport
Koscuiuszko Bridge	Bridge	40.727648200000004	-73.9287488	Outdoors & Recreation
Truck Stop Rest Area Westbound	Rest stop	40.925223700000004	-74.7919295	Travel & Transport
Chemical Engineering Department	University department	40.8094069	-73.9599072	Outdoors & Recreation
Columbia University	University	40.8075355	-73.9625727	College & University
Westbound Engineering Co.,Ltd.	Industrial equipment supplier	13.7575538	100.5886751	Shop & Service
John Buckley Residence Hall	Student dormitory	41.8057348	-72.2438851	Residence
170 High Ridge Rd	Ellington, CT 06029	41.8770931	-72.4602561	Outdoors & Recreation
170 Highridge Rd	Avon, CT 06001	41.777080100000006	-72.8935075	Outdoors & Recreation
170 High Ridge Rd	South Windsor, CT 06074	41.825878100000004	-72.5233043	Outdoors & Recreation
Putnam Refectory	Cafeteria	41.805226	-72.2589772	Outdoors & Recreation
Betsy Paterson Square	Park	41.8045951	-72.2435435!3m4!1s0x89e68a23c13ae04d:0x8f25ee71763c2dd4!8m2	Outdoors & Recreation
Insomnia Cookies	Cookie shop	41.805012100000006	-72.2435735	Shop & Service
Insomnia Cookies	Cookie shop	42.2551502	-71.7973919	Shop & Service
Insomnia Cookies	Cookie shop	41.8304489	-71.400755	Shop & Service
Insomnia Cookies	Cookie shop	41.485694099999996	-71.5248131	Shop & Service
Insomnia Cookies	Cookie shop	42.3758128	-72.519147	Shop & Service
MOOYAH Burgers, Fries & Shakes	Hamburger restaurant	41.805023999999996	-72.243478	Food
MOOYAH Burgers, Fries & Shakes	Hamburger restaurant	41.696529999999996	-72.756516	Food
Subway	Sandwich shop	41.8050102	-72.2436924	Shop & Service
Subway	Sandwich shop	41.7416974	-72.1774322	Shop & Service
Subway	Sandwich shop	41.8067528	-72.2543624	Shop & Service
Subway	Sandwich shop	41.8090675	-72.2605624	Shop & Service
Subway	Sandwich shop	41.7343634	-72.2016999	Shop & Service
Subway	Sandwich shop	41.713806899999994	-72.2170257	Shop & Service
Subway	Sandwich shop	41.7232721	-72.2373383	Shop & Service
Subway	Sandwich shop	41.7707414	-72.3047047	Shop & Service
Subway	Sandwich shop	41.6772761	-72.1685028	Shop & Service
Subway	Sandwich shop	41.8006451	-71.9006541	Shop & Service
Subway	Sandwich shop	41.8402263	-71.8767974	Shop & Service
Subway	Sandwich shop	41.7988831	-71.9129463	Shop & Service
Subway	Sandwich shop	41.719190600000005	-71.9035799	Shop & Service
Subway	Sandwich shop	41.923665299999996	-71.8819468	Shop & Service
Subway	Sandwich shop	41.864806200000004	-72.36252	Shop & Service
Subway	Sandwich shop	41.754281	-71.8785239	Shop & Service
Subway	Sandwich shop	41.9234104	-71.889218	Shop & Service
Subway	Sandwich shop	41.753984	-71.8770775	Shop & Service
Subway	Sandwich shop	41.9182354	-71.9079333	Shop & Service
Subway	Sandwich shop	41.7328484	-72.3565421	Shop & Service
Mansfield Town Square	Storrs Rd	41.8046174	-72.2435037	Travel & Transport
Nellie Louise Wilson Residence Hall	Storrs, CT 06269	41.8048328	-72.2472494	Outdoors & Recreation
Tower Loop Rd	Mansfield, CT	41.8156105	-72.2565501	Outdoors & Recreation
Times Square	Plaza	40.757974700000005	-73.9855426	Shop & Service
Gloria Jeans Coffees	Coffee shop	41.804261	-72.554634	Shop & Service
Gloria Jeans Coffees	Coffee shop	41.54961289999999	-73.0254809	Shop & Service
Gloria Jean's Coffee	Coffee shop	42.9557563	-71.4331846	Shop & Service
Gloria Jeans Coffees	Coffee shop	41.626697799999995	-73.9207237	Shop & Service
Gloria Jeans Coffees	Coffee shop	40.734110799999996	-73.8708351	Shop & Service
Gloria Jeans Coffees	Coffee shop	43.097545000000004	-70.8052631	Shop & Service
Gloria Jean's Coffees	Coffee shop	40.496196600000005	-74.444886	Shop & Service
Gloria Jean's Coffees	Coffee shop	40.5818776	-74.1652624	Shop & Service
Gloria Jeans Coffees	Coffee shop	43.633977	-70.3361799	Shop & Service
Gloria Jeans Coffees	Coffee shop	40.251273700000006	-74.3002711	Shop & Service
Gloria Jeans Coffees	Coffee shop	40.160207299999996	-74.4159541	Shop & Service
Michaels Jewelers	Jewelry store	41.8063291	-72.5456615	Shop & Service
Michaels Jewelers	Jewelry store	41.7228675	-72.7631444	Shop & Service
Michaels Jewelers	Jewelry store	41.5510592	-72.8074888	Shop & Service
Michaels Jewelers	Jewelry store	41.6841257	-72.9407491	Shop & Service
Michaels Jewelers	Jewelry store	41.8223606	-72.8834844	Shop & Service
Michael Szwed Jewelers, LLC	Jewelry store	42.0555014	-72.5544812	Shop & Service
Michaels Jewelers	Jewelry store	41.549631899999994	-73.0257615	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.7965683	-71.9123018	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.524384000000005	-72.074733	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	42.088032	-72.549478	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	42.256054	-71.785914	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.817032	-71.443276	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	42.11334	-72.55959	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.86285170000001	-71.4544001	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.82788060000001	-71.4161444	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.7309506	-72.723692	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.685068	-72.709528	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.8145145	-71.4210112	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.929126000000004	-72.604781	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.562309	-72.650687	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.758536	-72.699137	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	42.139261	-72.583114	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	42.554524	-71.779773	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.781364	-71.440069	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	42.113615700000004	-72.6048984	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.667482	-72.783211	Shop & Service
Cricket Wireless Authorized Retailer	Cell phone store	41.673313	-72.784868	Shop & Service
Mai Jewelry	Jewelry repair service	41.549825	-73.0255039	Shop & Service
Captain Candy	Candy store	42.3182057	-72.6307999	Shop & Service
T-Mobile	Cell phone store	41.803761	-72.2408435	Shop & Service
T-Mobile	Cell phone store	41.8414363	-71.8759168	Shop & Service
T-Mobile	Cell phone store	41.586119599999996	-71.9915734	Shop & Service
T-Mobile	Cell phone store	41.814074299999994	-72.5256108	Shop & Service
T-Mobile	Cell phone store	41.77110820000001	-72.5214045	Shop & Service
T-Mobile	Cell phone store	41.806545	-72.544368	Shop & Service
T-Mobile	Cell phone store	41.995329600000005	-72.5822138	Shop & Service
T-Mobile	Cell phone store	41.9975649	-72.5774625	Shop & Service
T-Mobile	Cell phone store	41.892361799999996	-72.6513579	Shop & Service
T-Mobile	Cell phone store	41.78016829999999	-72.6759228	Shop & Service
T-Mobile	Cell phone store	42.0859515	-72.555271	Shop & Service
T-Mobile	Cell phone store	42.1405038	-72.4860524	Shop & Service
T-Mobile	Cell phone store	41.7578794	-72.6847483	Shop & Service
T-Mobile	Cell phone store	41.693156099999996	-72.6578653	Shop & Service
T-Mobile	Cell phone store	42.1387585	-72.5191656	Shop & Service
T-Mobile	Cell phone store	42.0770239	-71.6328793	Shop & Service
Metro by T-Mobile	Cell phone store	41.712931899999994	-72.2195452	Shop & Service
T-Mobile	Cell phone store	41.3734608	-72.1437024	Shop & Service
T-Mobile	Cell phone store	41.3505039	-72.0546652	Shop & Service
